iter	Passed	Remaining
0	139	138942
1	139	69815
2	140	46761
3	141	35259
4	142	28340
5	143	23715
6	143	20413
7	144	17936
8	145	16021
9	146	14527
10	147	13271
11	148	12212
12	149	11335
13	150	10575
14	150	9913
15	151	9326
16	152	8808
17	153	8347
18	153	7934
19	154	7564
20	155	7227
21	155	6921
22	156	6641
23	157	6388
24	157	6152
25	158	5934
26	159	5732
27	159	5545
28	160	5370
29	161	5209
30	161	5057
31	162	4921
32	163	4789
33	164	4664
34	164	4548
35	165	4437
36	166	4329
37	166	4227
38	167	4131
39	168	4041
40	169	3954
41	169	3871
42	170	3792
43	171	3716
44	171	3644
45	172	3574
46	173	3508
47	173	3444
48	174	3383
49	174	3324
50	175	3267
51	176	3213
52	176	3162
53	177	3112
54	178	3063
55	178	3016
56	179	2971
57	180	2927
58	180	2885
59	181	2844
60	182	2805
61	182	2766
62	183	2729
63	184	2692
64	184	2657
65	185	2623
66	186	2590
67	186	2558
68	187	2527
69	187	2497
70	188	2468
71	189	2439
72	189	2411
73	190	2384
74	191	2360
75	192	2335
76	192	2310
77	193	2286
78	194	2262
79	194	2239
80	195	2217
81	196	2195
82	196	2173
83	197	2152
84	198	2132
85	198	2111
86	199	2092
87	200	2072
88	200	2053
89	201	2035
90	202	2018
91	202	2000
92	203	1983
93	204	1966
94	204	1950
95	205	1934
96	206	1918
97	206	1902
98	207	1887
99	207	1869
100	208	1855
101	209	1840
102	209	1826
103	210	1812
104	211	1798
105	211	1785
106	212	1770
107	212	1757
108	213	1745
109	214	1732
110	214	1720
111	215	1708
112	216	1696
113	216	1684
114	217	1673
115	218	1662
116	219	1653
117	219	1643
118	220	1632
119	221	1622
120	221	1612
121	222	1600
122	223	1590
123	223	1578
124	224	1568
125	224	1558
126	225	1549
127	226	1539
128	226	1530
129	227	1521
130	227	1511
131	228	1503
132	229	1494
133	229	1485
134	230	1476
135	231	1468
136	231	1459
137	232	1452
138	233	1445
139	233	1437
140	234	1429
141	235	1421
142	236	1414
143	236	1407
144	237	1399
145	238	1392
146	238	1384
147	239	1377
148	239	1370
149	240	1363
150	241	1356
151	241	1347
152	242	1341
153	242	1334
154	243	1327
155	244	1321
156	244	1314
157	245	1309
158	246	1303
159	247	1297
160	247	1291
161	248	1285
162	249	1279
163	249	1273
164	250	1267
